label,text
"CT, Computed Tomography","CT, Computed Tomography"
"CR, Computed Radiography","CR, Computed Radiography"
"DX, Digital Radiography","DX, Digital Radiography"
"GM, General Microscopy","GM, General Microscopy"
"MG, Mammography","MG, Mammography"
"NM, Nuclear Medicine","NM, Nuclear Medicine"
"MR, Magnetic Resonance","MR, Magnetic Resonance"
"PT, Positron emission tomography (PET)","PT, Positron emission tomography (PET)"
"PX, Panoramic X-Ray","PX, Panoramic X-Ray"
"SM, Slide Microscopy","SM, Slide Microscopy"
"US, Ultrasound","US, Ultrasound"
"XA, X-Ray Angiography","XA, X-Ray Angiography"
"OT, Other","OT, Other"
"CT, Computed Tomography","Computed Tomography"
"CR, Computed Radiography","Computed Radiography"
"DX, Digital Radiography","Digital Radiography"
"GM, General Microscopy","General Microscopy"
"MG, Mammography","Mammography"
"NM, Nuclear Medicine","Nuclear Medicine"
"MR, Magnetic Resonance","Magnetic Resonance"
"PT, Positron emission tomography (PET)","Positron emission tomography (PET)"
"PX, Panoramic X-Ray","Panoramic X-Ray"
"SM, Slide Microscopy","Slide Microscopy"
"US, Ultrasound","Ultrasound"
"XA, X-Ray Angiography","X-Ray Angiography"
"OT, Other","Other imaging"